418	417	416
2	4	1
378	417	225
225	340	378
377	376	390
306	305	334
1	4	7
7	10	11
415	416	390
418	416	415
418	415	406
406	415	407
330	361	331
340	321	331
372	361	371
409	416	417
409	408	416
330	331	323
323	331	321
302	261	282
302	321	340
302	340	225
225	261	302
240	261	225
225	213	240
247	213	217
247	240	213
371	377	391
416	408	391
390	416	391
391	377	390
354	361	330
371	361	354
354	377	371
403	413	386
414	404	418
382	381	410
410	400	382
381	382	373
194	229	218
218	229	233
305	267	343
343	334	305
381	373	343
350	334	343
343	373	350
157	158	147
157	229	194
157	267	229
77	39	157
39	267	157
174	157	194
158	157	174
294	295	269
306	334	325
325	334	350
358	325	350
326	325	358
210	196	205
4	2	3
3	36	4
92	101	82
31	35	11
407	415	397
390	376	397
397	415	390
340	331	355
355	331	361
361	372	355
355	378	340
355	372	378
399	372	371
371	391	399
399	391	408
408	409	399
292	323	321
292	302	282
321	302	292
204	213	225
261	240	253
240	247	253
282	261	253
241	222	231
264	231	236
413	404	387
387	386	413
398	382	400
176	153	187
194	218	195
195	174	194
294	269	275
275	287	294
328	316	315
384	375	374
412	404	413
412	413	403
412	410	418
418	404	412
412	384	411
294	287	313
326	335	313
374	375	344
344	336	335
326	358	351
351	335	326
351	344	335
374	344	351
196	210	219
262	248	233
233	229	262
229	267	262
246	248	254
233	248	246
254	248	283
283	275	254
287	275	283
72	39	77
62	92	82
176	198	173
173	198	206
35	31	51
51	31	56
95	90	70
70	51	56
69	89	95
69	70	56
95	70	69
11	10	19
19	31	11
29	7	14
29	48	49
68	48	67
49	48	68
56	31	30
30	19	10
31	19	30
378	372	392
372	399	392
417	378	392
392	409	417
392	399	409
323	292	291
320	311	300
339	354	330
217	213	209
185	184	209
209	204	185
213	204	209
192	227	216
274	265	259
259	265	232
212	216	245
185	204	186
186	204	225
388	414	418
206	221	199
220	219	230
215	221	206
206	198	215
198	220	215
115	157	147
77	157	115
115	110	77
147	158	134
386	387	379
345	365	379
379	365	386
404	414	405
383	384	374
411	384	383
362	373	382
382	398	362
350	373	362
362	358	350
132	119	101
197	187	196
197	220	198
197	198	176
176	187	197
196	219	197
219	220	197
205	196	175
196	187	175
254	275	263
263	275	269
276	269	295
393	365	364
403	386	393
386	365	393
375	384	385
384	412	385
364	375	385
385	393	364
326	313	322
322	313	287
322	325	326
306	325	322
352	375	364
352	344	375
336	344	352
233	246	214
214	246	210
214	218	233
214	210	205
205	195	214
214	195	218
234	246	254
234	263	230
254	263	234
230	219	234
234	219	210
210	246	234
293	305	306
293	267	305
248	262	268
268	283	248
268	262	267
267	293	268
8	15	1
80	81	60
80	79	111
100	80	111
81	80	100
92	62	61
61	81	92
60	81	61
61	43	60
160	153	176
176	173	160
13	4	24
4	36	24
65	54	64
54	53	64
53	63	64
46	54	65
65	75	46
82	101	112
101	119	112
35	51	71
71	70	90
51	70	71
95	89	107
10	7	37
7	29	37
37	30	10
37	29	49
49	68	76
89	69	76
89	76	88
88	76	68
281	265	274
285	291	292
285	292	282
282	253	285
285	281	291
330	323	312
323	291	312
312	339	330
311	339	312
320	300	299
354	339	349
376	377	349
377	354	349
224	193	202
202	212	224
202	193	183
203	209	184
217	209	203
238	227	237
237	266	238
245	216	238
238	216	227
223	244	237
237	227	223
202	183	182
232	265	239
239	247	217
192	216	208
216	212	208
208	212	202
202	182	208
370	397	376
348	360	333
250	244	241
188	199	191
226	199	221
236	231	226
226	221	236
226	231	222
222	191	226
226	191	199
177	173	206
206	199	177
177	199	188
188	161	177
236	221	243
221	215	243
116	131	97
116	134	131
97	110	116
110	115	116
116	115	147
147	134	116
125	100	118
111	117	118
118	100	111
366	379	387
411	383	401
401	400	410
401	398	400
401	383	398
410	412	401
401	412	411
398	383	363
358	362	363
363	362	398
363	383	374
374	351	363
363	351	358
172	195	205
205	175	172
158	174	172
174	195	172
159	187	153
159	175	187
249	243	235
235	220	230
235	215	220
235	243	215
269	276	255
255	276	249
249	235	255
255	263	269
230	263	255
255	235	230
315	316	296
296	316	303
303	270	296
403	393	402
393	385	402
402	412	403
402	385	412
288	276	295
295	314	288
288	314	315
315	296	288
327	314	336
336	352	327
327	328	315
315	314	327
336	314	307
307	313	335
335	336	307
307	314	295
307	295	294
294	313	307
345	328	359
359	365	345
328	327	359
359	327	352
364	365	359
359	352	364
286	293	306
286	268	293
283	268	286
306	322	286
287	283	286
286	322	287
2	34	12
12	3	2
12	16	3
59	41	57
59	91	79
33	34	2
15	8	20
58	59	57
91	59	58
111	79	99
79	91	99
99	91	97
99	117	111
97	131	99
131	117	99
