3	10	4
25	33	34
22	21	27
17	21	22
15	30	6
24	30	15
34	36	32
32	35	34
28	23	22
22	27	28
28	27	35
35	32	28
22	23	14
14	17	22
10	17	14
19	25	20
33	25	19
19	7	33
34	35	31
35	27	31
26	21	20
26	27	21
26	31	27
34	31	26
26	25	34
20	25	26
10	3	9
9	17	10
20	21	16
21	17	16
17	9	16
29	28	32
36	30	29
29	32	36
23	28	29
29	30	24
24	23	29
18	14	23
18	23	24
24	15	18
2	3	1
2	9	3
8	16	9
9	2	8
1	7	8
8	2	1
7	19	13
13	8	7
16	8	13
13	19	20
20	16	13
12	15	6
12	18	15
5	12	6
10	14	11
14	18	11
4	10	11
11	5	4
18	12	11
12	5	11
