0.10267	0.09416
0.10277	0.27689
0.10258	0.4573
0.10253	0.6389
0.10254	0.82042
0.10269	0.98404
0.26141	0.02057
0.2612	0.18585
0.26096	0.3671
0.26103	0.54879
0.26117	0.72873
0.26106	0.91171
0.41684	0.09424
0.41669	0.63893
0.41627	0.98382
0.41676	0.27728
0.41694	0.45725
0.41679	0.82032
0.57502	0.02054
0.57505	0.18575
0.57479	0.36675
0.57501	0.54857
0.57512	0.72882
0.57515	0.91178
0.73069	0.0941
0.73052	0.27724
0.73067	0.45723
0.7307	0.639
0.73078	0.82019
0.73045	0.98396
0.88894	0.36694
0.88919	0.72885
0.88939	0.0204
0.8894	0.18563
0.88924	0.54865
0.88915	0.91173
